sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
180.0,,295.0,-221.0,-81.0,379.0,240.0,-288.0,152.0,0.0
200.0,,199.0,-99.0,32.0,-226.0,241.0,-114.0,36.0,0.0
193.0,,113.0,17.0,164.0,52.0,294.0,27.0,-21.0,0.0
188.0,,26.0,125.0,274.0,-278.0,324.0,338.0,-22.0,0.0
177.0,,-48.0,183.0,355.0,-363.0,356.0,339.0,-32.0,0.0
192.0,,-123.0,206.0,414.0,338.0,322.0,493.0,-59.0,0.0
198.0,,-187.0,224.0,452.0,-3.0,257.0,360.0,-30.0,0.0
202.0,,-227.0,221.0,450.0,845.0,208.0,212.0,2.0,0.0
211.0,,-292.0,235.0,388.0,-422.0,158.0,92.0,-4.0,0.0
227.0,,-300.0,273.0,275.0,144.0,166.0,-208.0,-17.0,0.0
242.0,,-314.0,318.0,144.0,-276.0,217.0,-205.0,-4.0,0.0
263.0,,-300.0,358.0,15.0,-229.0,294.0,-436.0,98.0,0.0
284.0,,-269.0,346.0,-89.0,183.0,364.0,-467.0,264.0,0.0
278.0,,-269.0,288.0,-164.0,-497.0,408.0,-484.0,372.0,0.0
274.0,,-235.0,206.0,-226.0,-40.0,399.0,-532.0,383.0,0.0
244.0,,-215.0,110.0,-280.0,-555.0,316.0,-360.0,339.0,0.0
232.0,,-183.0,27.0,-323.0,686.0,246.0,-388.0,303.0,0.0
227.0,,-147.0,-15.0,-345.0,234.0,211.0,-171.0,319.0,0.0
197.0,,-114.0,-3.0,-337.0,178.0,189.0,-145.0,324.0,0.0
169.0,,-96.0,71.0,-306.0,-686.0,150.0,-12.0,304.0,0.0
158.0,,-81.0,219.0,-266.0,-818.0,95.0,157.0,289.0,0.0
137.0,,-73.0,360.0,-221.0,456.0,86.0,88.0,302.0,0.0
86.0,,-81.0,474.0,-156.0,61.0,125.0,212.0,348.0,0.0
55.0,,-76.0,554.0,-74.0,422.0,140.0,-31.0,371.0,0.0
17.0,,-98.0,574.0,11.0,-962.0,134.0,-145.0,330.0,0.0
-23.0,,-88.0,568.0,87.0,-344.0,128.0,-360.0,223.0,0.0
-72.0,,-64.0,526.0,129.0,-36.0,96.0,-539.0,127.0,0.0
-99.0,,-49.0,506.0,137.0,302.0,69.0,-391.0,67.0,0.0
-93.0,,-27.0,505.0,134.0,7.0,60.0,-402.0,37.0,0.0
-128.0,,-17.0,506.0,143.0,-690.0,73.0,-109.0,100.0,0.0
-163.0,,-6.0,481.0,166.0,108.0,79.0,-46.0,201.0,0.0
-187.0,,-19.0,413.0,192.0,-465.0,70.0,33.0,274.0,0.0
-197.0,,-9.0,315.0,221.0,294.0,37.0,88.0,312.0,0.0
-178.0,,-6.0,177.0,263.0,-91.0,-32.0,-20.0,255.0,0.0
-192.0,,-28.0,51.0,305.0,849.0,-92.0,140.0,127.0,0.0
-191.0,,-6.0,-65.0,320.0,83.0,-121.0,-25.0,47.0,0.0
-169.0,,-17.0,-160.0,316.0,-645.0,-72.0,-73.0,96.0,0.0
-150.0,,-8.0,-225.0,294.0,-65.0,-3.0,-232.0,214.0,0.0
-118.0,,27.0,-279.0,241.0,-313.0,45.0,-321.0,259.0,0.0
-137.0,,19.0,-326.0,147.0,1079.0,89.0,-129.0,201.0,0.0
-116.0,,50.0,-361.0,9.0,-678.0,123.0,-145.0,146.0,0.0
-58.0,,62.0,-392.0,-138.0,-525.0,101.0,81.0,201.0,0.0
-29.0,,56.0,-395.0,-252.0,-92.0,18.0,53.0,283.0,0.0
25.0,,71.0,-371.0,-301.0,527.0,-23.0,97.0,319.0,0.0
58.0,,66.0,-366.0,-290.0,637.0,-27.0,173.0,346.0,0.0
78.0,,52.0,-325.0,-242.0,-482.0,35.0,44.0,282.0,0.0
76.0,,46.0,-245.0,-173.0,10.0,113.0,97.0,111.0,0.0
81.0,,29.0,-141.0,-106.0,-653.0,134.0,-107.0,25.0,0.0
125.0,,3.0,-35.0,-59.0,608.0,81.0,-70.0,60.0,0.0
154.0,,-20.0,47.0,-32.0,169.0,-10.0,-83.0,69.0,0.0
166.0,,-67.0,72.0,-32.0,132.0,-50.0,-116.0,54.0,0.0
151.0,,-106.0,27.0,-53.0,300.0,-76.0,-5.0,42.0,0.0
163.0,,-143.0,-66.0,-78.0,27.0,-115.0,-55.0,-34.0,0.0
157.0,,-181.0,-190.0,-93.0,641.0,-140.0,177.0,-180.0,0.0
119.0,,-225.0,-304.0,-95.0,-63.0,-131.0,149.0,-262.0,0.0
107.0,,-255.0,-351.0,-89.0,10.0,-138.0,134.0,-185.0,0.0
95.0,,-298.0,-280.0,-78.0,-339.0,-144.0,33.0,-72.0,0.0
92.0,,-350.0,-128.0,-58.0,42.0,-129.0,-229.0,-87.0,0.0
69.0,,-389.0,45.0,-29.0,19.0,-120.0,-188.0,-185.0,0.0
73.0,,-433.0,175.0,5.0,278.0,-95.0,-339.0,-210.0,0.0
97.0,,-420.0,213.0,48.0,96.0,-121.0,-269.0,-109.0,0.0
64.0,,-419.0,158.0,84.0,404.0,-168.0,-260.0,27.0,0.0
48.0,,-375.0,41.0,108.0,502.0,-196.0,-227.0,75.0,0.0
60.0,,-311.0,-76.0,129.0,-446.0,-210.0,-57.0,74.0,0.0
80.0,,-261.0,-168.0,138.0,-158.0,-215.0,-36.0,44.0,0.0
78.0,,-175.0,-167.0,121.0,-557.0,-242.0,218.0,-20.0,0.0
41.0,,-116.0,-76.0,73.0,714.0,-235.0,177.0,-80.0,0.0
49.0,,-59.0,27.0,9.0,215.0,-222.0,223.0,-139.0,0.0
61.0,,-12.0,116.0,-65.0,-85.0,-216.0,188.0,-160.0,0.0
31.0,,17.0,145.0,-127.0,-155.0,-168.0,-92.0,-144.0,0.0
-14.0,,26.0,113.0,-153.0,-200.0,-110.0,-175.0,-128.0,0.0
-71.0,,41.0,60.0,-143.0,721.0,-45.0,-460.0,-220.0,0.0
-117.0,,50.0,11.0,-110.0,-469.0,14.0,-430.0,-379.0,0.0
-162.0,,48.0,6.0,-72.0,64.0,-4.0,-351.0,-432.0,0.0
-223.0,,50.0,62.0,-43.0,-688.0,-90.0,-153.0,-358.0,0.0
-264.0,,54.0,150.0,-25.0,-175.0,-156.0,254.0,-231.0,0.0
-270.0,,73.0,235.0,-7.0,91.0,-157.0,463.0,-177.0,0.0
-276.0,,99.0,261.0,23.0,-61.0,-115.0,766.0,-181.0,0.0
-315.0,,124.0,192.0,70.0,353.0,-70.0,654.0,-239.0,0.0
-318.0,,161.0,44.0,122.0,-670.0,-27.0,530.0,-288.0,0.0
-281.0,,200.0,-119.0,166.0,81.0,52.0,362.0,-215.0,0.0
-247.0,,207.0,-190.0,199.0,-954.0,119.0,88.0,-127.0,0.0
-227.0,,232.0,-186.0,220.0,-375.0,124.0,59.0,-105.0,0.0
-221.0,,236.0,-136.0,213.0,-290.0,90.0,-168.0,-117.0,0.0
-162.0,,232.0,-49.0,168.0,-89.0,58.0,-101.0,-150.0,0.0
-124.0,,232.0,-13.0,97.0,131.0,65.0,-114.0,-182.0,0.0
-107.0,,245.0,-4.0,26.0,-584.0,65.0,-92.0,-192.0,0.0
-83.0,,258.0,-27.0,-23.0,66.0,39.0,-7.0,-194.0,0.0
-80.0,,263.0,-51.0,-47.0,-576.0,-9.0,-158.0,-134.0,0.0
-46.0,,297.0,-72.0,-47.0,413.0,-43.0,-66.0,-21.0,0.0
-59.0,,291.0,-120.0,-40.0,-375.0,-60.0,-266.0,31.0,0.0
-70.0,,317.0,-147.0,-38.0,-162.0,-91.0,-218.0,-31.0,0.0
-54.0,,328.0,-172.0,-37.0,-643.0,-97.0,-84.0,-83.0,0.0
-37.0,,329.0,-198.0,-38.0,-546.0,-81.0,-49.0,31.0,0.0
-56.0,,355.0,-226.0,-42.0,508.0,-65.0,232.0,189.0,0.0
-102.0,,361.0,-224.0,-48.0,-527.0,-57.0,194.0,283.0,0.0
-98.0,,372.0,-230.0,-62.0,-79.0,-29.0,225.0,290.0,0.0
-91.0,,349.0,-270.0,-86.0,-1229.0,1.0,-5.0,263.0,0.0
-88.0,,351.0,-301.0,-92.0,207.0,-1.0,-223.0,332.0,0.0
